customer_id,name,birth_date,gender,city,income,employment_type
1,Evan Turner,2006-03-13,F,Buxoro,26175603.55,Self-Employed
2,Sarah Hart,1956-01-05,M,Samarqand,20423959.35,Business
3,Margaret Porter,1957-04-01,F,Samarqand,27640736.39,Business
4,Bonnie Lyons,1955-05-08,M,Toshkent,13794004.14,Self-Employed
5,Jorge Martin,1974-10-23,F,Buxoro,19179700.66,Self-Employed
6,Brian Williams,1957-09-05,M,Buxoro,9392404.95,Self-Employed
7,Emily Barron,1953-06-26,M,Toshkent,16322769.8,Business
8,Rebecca Rivera,1993-09-16,M,Buxoro,12672735.42,Business
9,Anthony Bennett,1995-10-29,F,Toshkent,11442592.09,Business
10,Gary Evans,1959-11-27,M,Samarqand,8355865.6,Self-Employed
11,Gabriella Snyder,1965-11-18,M,Toshkent,8741140.25,Self-Employed
12,Jason Robbins,1958-10-01,M,Samarqand,15263036.19,Business
13,Mckenzie Rodriguez,1955-09-05,F,Buxoro,10621100.71,Self-Employed
14,Patricia Johnson,1996-10-16,M,Toshkent,23786348.78,Business
15,Tamara Perry,1954-01-11,M,Buxoro,18726084.83,Employed
16,Timothy Roberts,1957-06-06,M,Toshkent,7833751.51,Business
17,Steven Curtis,2005-02-13,F,Toshkent,25885871.37,Self-Employed
18,Betty Perez,1998-02-12,M,Toshkent,6702198.03,Employed
19,Joseph Rivera,1948-09-05,M,Samarqand,3841214.67,Employed
20,Bobby Griffith,1975-12-16,F,Toshkent,19349678.93,Self-Employed
21,Kevin Davis,1955-03-02,M,Toshkent,7056213.32,Self-Employed
22,Jeffrey Randolph,1958-02-19,M,Buxoro,23440247.26,Business
23,Philip Jones,1992-06-26,M,Toshkent,27662118.85,Business
24,Jason Garcia,1980-05-14,F,Buxoro,23372691.94,Employed
25,Candace Brown,1992-10-20,F,Buxoro,20542341.94,Employed
26,Amber Wells,1980-08-31,F,Toshkent,16922154.34,Self-Employed
27,Charles Cooper,2007-01-26,M,Samarqand,29027746.59,Business
28,Melissa Turner,1974-04-17,M,Samarqand,19778813.57,Business
29,Russell May,1990-12-31,F,Samarqand,10186044.46,Employed
30,Christopher Curry,1968-05-12,F,Buxoro,9154574.08,Employed
31,Janet Evans,2003-11-14,M,Toshkent,29196070.42,Self-Employed
32,Karina Gomez,2006-01-17,F,Buxoro,3553188.81,Self-Employed
33,Steve Wilkinson,1955-05-10,M,Toshkent,29622960.9,Business
34,Jason Owens,1968-07-11,F,Toshkent,25625792.26,Business
35,Nicholas Martin,1986-12-30,F,Samarqand,4825885.06,Employed
36,Christopher Krause,1974-01-10,M,Toshkent,16236294.02,Self-Employed
37,Taylor Martin,2003-11-18,M,Buxoro,28558400.88,Employed
38,Valerie Bates,1994-09-23,F,Samarqand,26661415.06,Employed
39,Stacy Knight,1954-03-09,F,Buxoro,24461087.41,Business
40,Justin Wu,2005-06-26,M,Toshkent,13419031.73,Self-Employed
41,Brian Martinez,1977-10-20,F,Samarqand,29167521.42,Self-Employed
42,Cynthia Rivera,1987-07-22,M,Toshkent,17275142.35,Employed
43,Michael Estes,1978-07-21,F,Toshkent,22197038.5,Employed
44,David Davis,1998-03-19,F,Samarqand,23518179.07,Employed
45,Mary Stevens,1946-03-03,F,Buxoro,27977696.4,Business
46,Steven Burke,1960-12-06,M,Buxoro,8075574.79,Employed
47,Steve Robinson,1960-06-10,M,Toshkent,20388197.39,Self-Employed
48,Dr. Joseph Hayes MD,1965-01-14,M,Toshkent,15732382.72,Employed
49,Jason Marshall,1955-09-17,M,Toshkent,13466231.18,Employed
50,Gregory Cooper,1973-01-27,F,Toshkent,23637508.69,Self-Employed
51,Dr. Toni Dyer MD,1946-12-01,F,Toshkent,25451472.21,Employed
52,Jose Fuentes,1977-11-04,F,Samarqand,5556946.87,Business
53,Lisa Robinson,1986-12-04,F,Samarqand,10960849.32,Self-Employed
54,Katrina Mcmahon,1995-06-18,M,Toshkent,9757624.77,Employed
55,Lori Ferguson,1950-03-31,M,Samarqand,14490584.62,Employed
56,Justin Smith DDS,1996-05-27,F,Buxoro,10242173.47,Business
57,Barbara Smith,1974-02-20,F,Samarqand,27350617.14,Self-Employed
58,Carrie White,2006-09-02,F,Samarqand,29203798.8,Business
59,Erik Fowler,1998-12-15,F,Samarqand,27387976.03,Employed
60,Joseph Campbell,1981-08-25,M,Toshkent,15806986.89,Self-Employed
61,Luis Kemp,1961-07-23,F,Samarqand,20998261.19,Business
62,Patricia Hill,1980-07-13,F,Buxoro,28227818.86,Self-Employed
63,Karen Wood,1972-03-12,F,Buxoro,12156137.49,Business
64,Scott Wilson,1994-06-30,F,Samarqand,13764676.24,Business
65,Lisa Martin,1993-06-15,M,Toshkent,7916029.15,Business
66,Shane Perry,1997-07-23,F,Buxoro,23475022.27,Business
67,Charles Hall,1986-12-19,M,Buxoro,13809183.73,Employed
68,Diana Bell,1973-09-21,F,Samarqand,25725440.8,Employed
69,Johnny Crawford III,1958-09-07,M,Buxoro,19840224.15,Self-Employed
70,Richard Garrett,1972-01-05,M,Toshkent,27677925.04,Self-Employed
71,Valerie Rivera,1957-03-25,M,Toshkent,22971206.56,Self-Employed
72,Wendy Norman,1966-05-29,M,Samarqand,4022671.58,Self-Employed
73,Stephanie Lopez,1945-06-03,M,Buxoro,3556281.98,Self-Employed
74,Dustin Walker,1990-03-29,F,Buxoro,12735694.65,Self-Employed
75,Anthony Mitchell,1979-06-24,F,Buxoro,4728184.77,Self-Employed
76,Jennifer Ray,1964-01-02,F,Buxoro,12141700.2,Business
77,Robert Erickson,1962-01-17,F,Buxoro,9347124.37,Business
78,Rodney Rodriguez,2003-05-10,M,Samarqand,25545923.48,Employed
79,Michael Hansen,1951-07-04,F,Toshkent,17060246.98,Employed
80,Adam Murphy,2001-09-25,F,Toshkent,26121606.29,Employed
81,Shawn Smith,1985-07-13,M,Toshkent,8412024.58,Self-Employed
82,David Crawford,1996-12-09,M,Buxoro,9093281.73,Self-Employed
83,Laurie Monroe,1970-12-22,M,Samarqand,28809131.02,Business
84,Hannah Vasquez,2003-11-25,M,Toshkent,29570302.22,Employed
85,Daniel Schneider,1971-06-23,M,Samarqand,6107093.93,Self-Employed
86,Christopher Castro,1988-08-23,F,Buxoro,24651323.55,Business
87,Peter Thompson,1998-11-16,F,Samarqand,28475079.0,Self-Employed
88,Katrina Booth,1992-12-21,M,Samarqand,29991426.71,Employed
89,Justin Fuentes,1977-09-28,F,Buxoro,11789421.16,Employed
90,Michelle Davenport,1946-12-11,F,Buxoro,9011694.75,Employed
91,Brian Lopez,2005-08-05,M,Samarqand,7305873.58,Self-Employed
92,Dr. Rachel Harris DVM,1975-12-25,F,Buxoro,20859738.02,Self-Employed
93,Lauren Rivera,2004-03-08,M,Samarqand,24965148.65,Employed
94,Denise Russell,1952-12-07,F,Toshkent,21332661.9,Employed
95,Kathleen Woods,2007-03-06,M,Buxoro,4273873.1,Employed
96,Katherine Nielsen,1989-04-20,M,Samarqand,25732003.99,Employed
97,Taylor Wilson,1962-06-20,M,Toshkent,18633772.89,Employed
98,Meredith Butler,1996-01-03,M,Samarqand,6286784.56,Employed
99,Michaela Jackson,1961-10-11,M,Toshkent,17935234.02,Self-Employed
100,Collin Glenn,1978-02-11,F,Buxoro,8425434.61,Business
101,Denise Jacobson,2004-11-01,M,Samarqand,21868393.92,Self-Employed
102,Teresa Higgins,1949-08-28,F,Toshkent,9833728.87,Employed
103,David Mckay,1945-12-07,F,Samarqand,18736613.81,Self-Employed
104,Sharon Juarez,1949-05-16,M,Samarqand,25870045.58,Self-Employed
105,Tiffany Roberts,1961-08-22,F,Toshkent,8142235.52,Business
106,Anna Garcia,1964-08-11,M,Toshkent,28132491.07,Business
107,Sarah Jones,1971-06-27,F,Toshkent,7273992.8,Business
108,Christian Fuller,1980-01-29,F,Buxoro,24306892.08,Employed
109,Karina Santiago,1989-01-08,F,Samarqand,15161511.22,Self-Employed
110,Jimmy Mckenzie,2007-04-01,M,Buxoro,27995097.36,Self-Employed
111,Ashley Henderson,1952-10-16,M,Toshkent,17262147.12,Business
112,Amanda Hayden,1951-08-23,F,Samarqand,9341324.93,Business
113,Jeffrey Miller,1979-01-23,F,Samarqand,29126836.87,Business
114,Lisa Dalton,1978-12-16,M,Samarqand,27500148.96,Business
115,Curtis Carter,2003-02-04,M,Samarqand,6832737.47,Employed
116,Michael Zimmerman,1985-03-01,M,Samarqand,5154002.47,Business
117,Jennifer Lopez,1964-06-13,M,Samarqand,11807494.94,Self-Employed
118,Joseph Franklin,1997-05-09,M,Buxoro,4265482.21,Business
119,Shari Roberts,1961-04-28,M,Samarqand,11679977.98,Self-Employed
120,Tina Rios,1999-07-02,M,Toshkent,12517060.42,Employed
121,Teresa Harris,1959-05-31,M,Toshkent,11346078.52,Self-Employed
122,Cody Garcia,1955-01-06,M,Samarqand,9136031.12,Self-Employed
123,Timothy Jordan,1965-08-14,F,Buxoro,15145362.53,Self-Employed
124,Kyle Valdez,1969-08-04,F,Toshkent,19153823.09,Business
125,Sarah Baker,2001-01-12,M,Samarqand,14522353.64,Self-Employed
126,Megan Lee,1946-10-17,M,Toshkent,12101855.17,Business
127,Mr. Kevin Levine,1958-05-15,F,Toshkent,8889088.73,Employed
128,Robert Diaz,1972-08-30,M,Toshkent,16328550.23,Business
129,Christian Cole,1963-12-30,M,Toshkent,10972515.12,Business
130,Nicole Smith,1995-04-19,M,Buxoro,8537152.05,Employed
